vrom,address,name,file,length,hash of top bits of words,functions called by this function,non-jal function calls,referenced functions
0x018020,0x80118020,func_80118020,,0xBC,8c16952ada39853b7d50df65ed5c5f86,[func_8010F94C;func_8011FF08;func_8011FF08;func_8011FF08;func_8011FF08;func_801170DC;func_8010F23C;func_8010E558],[],[]
0x0180DC,0x801180DC,func_801180DC,,0xFE0,3fed40bbb695c5ae17b86e127be97337,[func_80145680;func_801469E4;func_80145680;func_8012643C;func_801469E4;func_801C6000;func_8015C350;func_801C6000;func_801C08E4;func_801C6000;func_801C6000;func_801C6000;func_801C6000;func_801C6000;func_801C6000;func_801C6000;func_801C6000;func_801C6000;func_801C6000],[],[]
0x0190BC,0x801190BC,func_801190BC,,0x4D4,fca8d6d143ba1fbef7604e7541534dd6,[func_801469E4;func_801469E4;func_8012519C;func_801100B8;func_8010F520;func_8010E400;func_8010F1AC;func_80133998],[],[]
0x019590,0x80119590,func_80119590,,0x340,29a8afa0c29d4842a544edb85e74d6f0,[func_8010E560;func_80145680;func_8014A50C;func_8014A50C;func_8010EEF8;func_80142700;func_80133998;func_8010EEF8;func_80142700],[],[]
0x0198D0,0x801198D0,T_801198D0,,0x484,8a4c96fd3bf272aa9b74165561e3f805,[],[],[]
0x019D54,0x80119D54,func_80119D54,,0x290,befa1673d6fe5fdcf89f028e57d716d7,[func_8010E560;func_80145680;func_8010EEF8;func_80142700;func_80133998;func_8010EEF8;func_80142700;func_80133998;func_8010F0B8;func_801190BC],[],[]
0x019FE4,0x80119FE4,func_80119FE4,,0xD8,e396cc95ed99608473be2470c0bd0329,[func_8010EBE8;func_80155A44;func_8011F9F4;func_801335A8;func_8011FF40],[],[]
0x01A0BC,0x8011A0BC,func_8011A0BC,,0x814,29cec11f5be484859fc84994e6671e58,[func_80145680;func_801469E4;func_801469E4;func_80145680;func_801469E4;func_801469E4;func_801469E4;func_801C6000;func_801C6000;func_801C6000;func_801C6000;func_8010F520;func_8013FBC0;func_8010F1AC;func_8010E400;func_8013FBC0;func_8010E400;func_8010F1AC;func_801100B8;func_801C6000;func_801C6000],[],[]
0x01A8D0,0x8011A8D0,func_8011A8D0,,0x260,f8f6fd153ec57723e09d0bfa2cebadc2,[func_8010F520;func_80145680;func_80145680;func_8012643C;func_801C6000;func_801C6000;func_801469E4],[],[]
0x01AB30,0x8011AB30,T_8011AB30,,0x100C,d8ba9ddca77fe399e78f9c26f9a0eecd,[],[],[]
0x01BB3C,0x8011BB3C,func_8011BB3C,,0x94,745f68026b29c89d89242eedc7361815,[func_8017DBA0],[],[]
0x01BBD0,0x8011BBD0,func_8011BBD0,,0xE8,c4f257d1785df8025dfa6d365fb2b2d0,[func_80133998;func_8017DBA0],[],[]
0x01BCB8,0x8011BCB8,func_8011BCB8,,0xA8,8991ebfed165f3a68a5ce3c499c30b9f,[func_8017DBA0;func_8017DBA0],[],[]
0x01BD60,0x8011BD60,func_8011BD60,,0x80,ddd8e45ee5a847ad6905442142f66c95,[func_80128DF8],[],[]
0x01BDE0,0x8011BDE0,func_8011BDE0,,0x58C,1c92de4809da1d509e8cc767e1538af7,[func_8014944C;func_8014944C;func_80147000;func_8017DBA0;func_801490AC;func_8017DBA0;func_801490AC;func_8015C350;func_801499A0;func_801499A0;func_801499A0;func_80178704;func_801785E0;func_8014944C;func_801496C8],[],[]
0x01C36C,0x8011C36C,func_8011C36C,,0x4A4,6179b609ceb5ada1485331ef5352a605,[func_80149398;func_80162EAC;func_801499A0;func_801A9054;func_80147000;func_80139CA0;func_80151FD0;func_80147000;func_80139CA0;func_80151FD0;func_80147000;func_80178134;func_80147000;func_80178134;func_801B66D4;func_80147000;func_8014915C;func_801499A0;func_801B66D4;func_80147000;func_80139CA0;func_80151FD0;func_80147000],[],[]
0x01C810,0x8011C810,func_8011C810,,0xE4,bab6bb9320d367dfeb66efdb8f8583cc,[func_80147000;func_80147000;func_801B66D4;func_801B66D4],[],[]
0x01C8F4,0x8011C8F4,func_8011C8F4,,0x204,49ec13c45df31f7f8328c68d1e0ee136,[func_8017DBA0;func_8017DBA0;func_8017DBA0;func_801499A0],[],[]
0x01CAF8,0x8011CAF8,func_8011CAF8,,0x44,b5b818125d217425231ea99d681dd6c7,[],[],[]
0x01CB3C,0x8011CB3C,func_8011CB3C,,0x1B4,6c47ca8a163ff8357acd1953adf9f6d2,[func_8011BCB8;func_80162EAC;func_8011BCB8;func_80128DF8;func_80162EAC],[],[]
0x01CCF0,0x8011CCF0,func_8011CCF0,,0x60,cde48aedc862a22f982d3f11a9cd37c9,[func_80167604],[],[]
0x01CD50,0x8011CD50,func_8011CD50,,0x10,b107626287fc39cae450d1eaea112d62,[],[],[]
0x01CD60,0x8011CD60,func_8011CD60,,0x60C,624e30c472d2a2c5dc5562f593887281,[func_801364D0;func_80128DF8;func_80155A44;func_80155AE4;func_8013FCDC;func_80142700;func_80179ECC;func_80182F64;func_80182F64;func_80182F64;func_80182F64;func_8018315C;func_8018315C;func_8013FCDC;func_8018315C;func_80128DF8],[],[]
0x01D36C,0x8011D36C,func_8011D36C,,0x484,5d9c7d14f4606c118626e6919f64a7bc,[func_8017DBA0;func_8017DBA0;func_80148EBC;func_80133998;func_80149398;func_80197794;func_801A9054;func_8400103C;func_8400103C;func_8400103C],[],[]
0x01D7F0,0x8011D7F0,func_8011D7F0,,0x20,4b65b17f78832a3f23bd3166c48ce5c8,[func_8011C810],[],[]
0x01D810,0x8011D810,func_8011D810,,0x60,9004e0eb9bb83f7242375aadf8f59a26,[func_8014A9FC;func_80141720],[],[]
0x01D870,0x8011D870,func_8011D870,,0x1C,926792c8309a2a3ea404519bb24e0d02,[],[],[]
0x01D88C,0x8011D88C,func_8011D88C,,0x68,918e5ed3c0eaa6ac9681b5007790f8fc,[func_80141874],[],[]
0x01D8F4,0x8011D8F4,func_8011D8F4,,0x204,c863efd833ba26214f62479e1b53cbfe,[func_801758D0;func_801AE510;func_80162BE0;func_801D2150;func_80139D70;func_8015C924;func_8015C924;func_80182090;func_80133998;func_801A7360;func_80139CA0;func_8014FCF8;T_80181A40;func_80139CA0;func_8014FCF8;func_80139CA0;func_8014FCF8;func_80133998;func_8017DBA0],[],[]
0x01DAF8,0x8011DAF8,func_8011DAF8,,0x1F8,755bfad7cc058b6936b8e1a3f25c36a1,[func_801C0A2C;func_801C0B00;func_80155A44;func_80145E30;func_8014F38C;func_80141720;func_80162694;func_80141720;func_80141720;func_8014A9D8;func_8014A9FC;func_801456DC;func_801627AC;func_801627AC;func_8013FC38;func_80150EA4;func_80162BE0;func_80141720;func_80141720],[],[]
0x01DCF0,0x8011DCF0,func_8011DCF0,,0x60,7e03ecba0bd80decd17223ba28a177c8,[func_801C0A2C;func_801C0B00;func_8011CD50],[],[]
0x01DD50,0x8011DD50,func_8011DD50,,0x7CC,210bf1be16829ad3e91f941e1e74e774,[T_801C066C;T_801C066C;func_80178704;func_80155A44;func_80141720;func_8014F38C;func_80141720;func_8018DD18;func_80178E04;func_801D2150;func_80139D70;func_8013FBC0;func_80145E30;func_8011FF08;func_8011FF08;func_8011FF08;func_8011FF08;func_8011FF08;func_8011FF08;func_8011FF08;func_8011FF08;func_8011FF08;func_8011FF08;func_8011FF08;func_8010F94C;func_80141720;func_80162694;func_80141720;func_801625F0;func_8014A9D8;func_80141720;func_80141720;func_8011FF08;func_80141720;func_80141720;func_80141720;func_80141720;func_80178704;func_80141720;func_80141720;func_80141720;func_80178704;func_80141720;func_80141720;func_80141720;func_80141720;func_80141720;func_80141720;func_80141720;func_80141720;func_80141720;func_80191548;func_801627AC;func_80178704;func_80178704;func_80141720;func_80176AFC;func_80178704],[],[]
0x01E51C,0x8011E51C,func_8011E51C,,0x370,f43d90ba6b53e1cacc021575ba25e6d2,[func_801627AC;func_801627AC;func_801627AC;func_801627AC;func_801627AC;func_801627AC;func_8014ABEC;func_80141874;func_801456DC;func_80188F90;func_801A6820;func_8011FE48;func_8013FC38;func_80150EA4;func_80162BE0;func_8011FD80;func_80141720;func_80179F5C;func_801A8EF8;func_80191548;func_801627AC;func_80141720;func_80178704;func_8014A9FC;func_80141720;func_80141720;func_80141720;func_80141720;func_80141720;func_80141720],[],[]
0x01E88C,0x8011E88C,func_8011E88C,,0x22C,92487505cee758e0ddc556b0dea34ede,[func_80155A44;func_801A67E4;T_801C066C;T_801C066C;func_801D2150;func_80139D70;func_80191260;func_8014F510;func_8014F510;func_8014A460;func_8014A460;func_8014A460;func_8014A460;func_8014A460;func_8014A460],[],[]
0x01EAB8,0x8011EAB8,func_8011EAB8,,0xA64,860dc88a0651b19e2888574f33b22e6a,[func_8014A460;func_8014A460;func_8014A460;func_8014A460;func_8014A460;func_80139CA0;func_8014FCF8;func_80139CA0;func_8014FCF8;func_80139CA0;func_8014FCF8;func_80139CA0;func_8014FCF8;func_80139CA0;func_8014FCF8;func_80139CA0;func_8014FCF8;func_80139CA0;func_8014FCF8;func_8014A460;func_8014A460;func_80124F2C;func_8014F510;func_8014F510;func_80150EA4;func_80150EA4;func_80142A10;func_8011C8F4;func_80177A14;func_8014F510;func_80179468;func_80179468;func_8014F510;func_80150EA4;func_80125040;func_8012643C;func_8014D5E0;func_80145CEC;func_8011C810;func_801C0A2C;func_801C0B00;func_8011CD50;func_8011F9F4;func_80155A44;func_8011FF40;func_8011C810;func_801C0A2C;func_801C0B00;func_8011CD50;func_8011FB8C;func_80155A44;func_8011FF40;func_801399EC;func_8014D4D0;func_80145CEC;func_801469E4;func_801469E4;func_801469E4;func_80155AE4;func_80145680;func_8011FD80;func_8011D88C;func_8014D548;func_801469E4],[],[]
0x01F51C,0x8011F51C,func_8011F51C,,0x4D8,3f26e077e8c0aaec74acced8f598f06b,[func_8013FBC0;func_80125040;func_80145680;func_80145680;T_801C066C;func_8010E6AC;func_8014D5E0;func_8011C810;func_801399EC;func_8014D4D0;func_80177A14;func_801D2150;func_801469E4;func_80145CEC;func_80155A44;func_8014D548;func_801469E4;func_80155AE4],[],[]
0x01F9F4,0x8011F9F4,func_8011F9F4,,0xC4,e099b094a687c47dcbcfaa831ce4736f,[func_801C0A2C;func_801C0B00;func_8011CD50;func_8011F9F4;func_80155A44;func_8011FF40],[],[]
0x01FAB8,0x8011FAB8,func_8011FAB8,,0xD4,6c2c42a6a78dc523fe861b959a7ac4a5,[func_8013FBC0;func_8012643C;func_80155A44;func_8014D548],[],[]
0x01FB8C,0x8011FB8C,func_8011FB8C,,0x1F4,54eec6ac27b7f7412e0fb6aeae36d9ea,[func_801469E4;func_8012ABFC;func_8012AC54;func_80145680;func_80145928;func_801469E4],[],[]
0x01FD80,0x8011FD80,func_8011FD80,,0xC8,422953552ce5f2527ddc8bb68f00df63,[func_801469E4;func_80145680;func_80155AE4;func_80125040;func_80145680;func_80145CEC],[],[]
0x01FE48,0x8011FE48,func_8011FE48,,0xC0,f05639b77570ea106ed85b1f4b9c39b5,[],[],[]
0x01FF08,0x8011FF08,func_8011FF08,,0x38,7109cebcae2c0ed8e4aa889896d415ab,[func_801D2150],[],[]
0x01FF40,0x8011FF40,func_8011FF40,,0xAB4,fcd43af183f6e89e79445e9705924426,[func_801D2150;func_80145680;func_8010E6AC;func_8014D5E0;func_80155A44;func_8011C810;func_801C0A2C;func_801C0B00;func_8011CD50;func_8011F9F4;func_80155A44;func_8011FF40;func_80132C04;func_80132DA8;func_801793DC;func_8014D4D0;func_801793DC;func_8014D4D0;func_801793DC;func_801793DC;func_801793DC;func_801793DC;func_80149724;func_80149724;func_801469E4;func_80149724;func_801469E4;func_801469E4;func_801469E4;func_801469E4;func_801469E4;func_801469E4;func_801469E4],[],[]
0x0209F4,0x801209F4,func_801209F4,,0x9C,3c718385f9af7a37aefd1123d7777204,[],[],[]
0x020A90,0x80120A90,func_80120A90,,0xFC,c637561471fbf5c76bd7706d15da1eb6,[func_8013FBC0],[],[]
0x020B8C,0x80120B8C,func_80120B8C,,0x18C,dff0bd1f59af85d2676d98bd49d443cb,[func_8013FBC0],[],[]
0x020D18,0x80120D18,func_80120D18,,0x68,57fb0aab864eb751a0d0eb2e40b961bb,[],[],[]
0x020D80,0x80120D80,func_80120D80,,0xC8,b5815d0d50f5ad3d4aef6ff168d252a8,[func_8014A9D8;func_80188F90;func_80188FB4;func_801A6820;func_8014ABEC;func_8015C758;func_801A8E30;func_801B4010;func_8018A9D0;func_80179EAC;func_801B9140;func_80179EAC;func_8018E6F8;func_8018E5F0;func_8018B3D8;func_8012ACC0;func_8018B3B8;func_801BAF6C;func_801B87C4;func_801B7B40;func_801779F0;func_8014A9FC],[],[]
0x020E48,0x80120E48,func_80120E48,,0xC0,44644eca58460dac9bbbe0a874843ccf,[func_8014A9D8;func_80188F90;func_80188FB4;func_801A6820;func_8014ABEC;func_8015C758;func_801A8E30;func_801B4010;func_8018A9D0;func_80179EAC;func_801B9140;func_80179EAC;func_8018E6F8;func_8018E5F0;func_8018B3D8;func_8012ACC0;func_8018B3B8;func_801BAF6C;func_801B87C4;func_801B7B40;func_801779F0],[],[]
0x020F08,0x80120F08,func_80120F08,,0x38,82a6c48a78cb4cdf1d7c3737ae485c94,[func_8014AAB8;func_80141720;func_80141720],[],[]
0x020F40,0x80120F40,func_80120F40,,0xB50,1695c011e772b2982fbd3f032b665bb2,[func_8014707C;func_80155A44;func_80145E30;func_8014A9D8;func_80188F90;func_80188FB4;func_801A6820;func_8014ABEC;func_8015C758;func_801A8E30;func_801B4010;func_8018A9D0;func_80179EAC;func_801B9140;func_80179EAC;func_8018E6F8;func_8018E5F0;func_8018B3D8;func_8012ACC0;func_8018B3B8;func_801BAF6C;func_801B87C4;func_801B7B40;func_801779F0;func_8014A9FC;func_80141874;func_8011D88C;func_8014E760;func_8014A460;func_8014A460;func_8014A460;func_8014A460;func_8014A460;func_8014A460;func_8014A460;func_8014A460;func_8014A460;func_801469E4;func_801469E4;func_801469E4;func_8014D548;func_801BB554;func_80178A58;func_801BB554;func_8014A460;func_8017DBA0;func_80128D34;func_8017DBA0;func_801526C4;func_8013FCDC],[],[]
0x021A90,0x80121A90,func_80121A90,,0x53C,ff35c3cdbf9e090b8cfecd4fdf0b20c6,[func_80142928;func_8015C350;func_80142928;func_8015C350;func_8012643C;func_8012801C;func_8014F510;func_80150EA4;func_8014D548;func_8013FCDC;func_8014AA20;func_80139CA0;func_8014FCF8;func_801B6370;func_8014A50C;func_8014A50C;func_8014A50C],[],[]
0x021FCC,0x80121FCC,func_80121FCC,,0x28,19e81f4a96ba377860758f3c5c9804a3,[],[],[]
0x021FF4,0x80121FF4,func_80121FF4,,0xD74,74af412a669267c12ab954c0be8d4793,[func_8010EEF8;func_8010EEF8;func_8010EEF8;func_8010EEF8;func_8010EEF8;func_8010EEF8;func_8010EEF8;func_8010EEF8;func_8014E760;func_80177A14;func_80155AE4;func_8014ED2C;func_80149724;func_801D2150;func_801469E4;func_801D2150;func_801469E4;func_801D2150;func_801469E4;func_801D2150;func_80149724;func_801D2150;func_801793DC;func_8018E260;func_8015C350],[],[]
0x022D68,0x80122D68,func_80122D68,,0x28,cf09014a4b3ed5605263e11efae695b5,[func_801469E4],[],[]
0x022D90,0x80122D90,func_80122D90,,0x20C,eb59d90a4cc1f947ebeeec657bae74e6,[func_8014D5E0;func_8014AAB8;func_8014AAB8;func_8014AAB8;func_8010F94C;func_8011CAF8;func_8018E260;func_8011FF40;func_8014D4D0;func_80149724;func_80147000;func_80147000;func_8014E8B4],[],[]
0x022F9C,0x80122F9C,func_80122F9C,,0x10C,6e4f2a1c9e7ab8882234b6b7f23640d9,[func_8011FF40;func_80155A44;func_8012801C],[],[]
0x0230A8,0x801230A8,func_801230A8,,0x46C,edcc82a5ba0b84d0df6209f1e6ffbd9e,[func_801D20F8;func_8014F510;func_80150EA4;func_8013FCDC;func_8014AA20;func_80139CA0;func_8014FCF8;func_8010EEF8;func_8010EEF8;func_8010EEF8;func_80142700;func_80133998;func_801890EC;func_80188FD8;func_801891E4;func_8012A738;func_8014E760;func_80177A14;func_8014D548;func_80155AE4;func_8012643C;func_80149724;func_80147000;func_80147000;func_8014E8B4],[],[]
0x023514,0x80123514,func_80123514,,0x87C,28b1be02b87a84e268e85547c9100d94,[func_8014ED2C;func_801469E4;func_801469E4;func_80145928;func_801469E4;func_80128D34;func_80145680;func_801469E4;func_80145680;func_8014D5E0;func_8010F94C;func_8011CAF8;func_8011FF40;func_801399EC;func_8014D4D0;func_8014D4D0;func_8015C350;func_801469E4;func_801C6000;func_801469E4;func_80145928;func_8011FF40],[],[]
0x023D90,0x80123D90,func_80123D90,,0x91C,a828324bac821f4d01138df31624d151,[func_80145680;func_8014D5E0;func_80145680;func_801C0A2C;func_801C0B00;func_8011CD50;func_8014D4D0;func_80145E30;func_801C0A2C;func_801C0B00;func_8011CD50;func_8014D548;func_80155AE4;func_801469E4;func_801469E4;func_8014ED2C;func_8014D5E0;func_801C0A2C;func_801C0B00;func_8011CD50;func_8011CAF8;func_80132648;func_801D2150;func_801469E4;func_801469E4;func_801469E4;func_80147000;func_8014E8B4;func_8014D61C;func_8014D4D0;func_801335A8;func_8012A77C;func_801493EC;func_801493EC;func_80160228;func_801A2944;func_801A2944;func_80147000;func_80177A14],[],[]
0x0246AC,0x801246AC,func_801246AC,,0x880,5b62a517d462bf23d5ef50abbbc50f48,[func_80178134;func_801B7764;func_801B13CC;func_8014D5E0;func_801C0A2C;func_801C0B00;func_8011CD50;func_8010D5FC;func_80129AFC;func_80179524;func_80128F74;func_80125794;func_80128DF8;func_80178134;func_80178134;func_801493EC;func_80128D34],[],[]
0x024F2C,0x80124F2C,func_80124F2C,,0xCC,8480e88a89499b6eb0638ecd9865b28c,[],[],[]
0x024FF8,0x80124FF8,func_80124FF8,,0x48,d6e85d6df40dae038059c65aa5af712a,[func_8012801C],[],[]
0x025040,0x80125040,func_80125040,,0x15C,b25bf8ccc05d3d83b3cb7df264887f8e,[],[],[]
0x02519C,0x8012519C,func_8012519C,,0xF8,3130f82aee97eafec0158956fe2e42a3,[],[],[]
0x025294,0x80125294,func_80125294,,0x500,6b766cd8a2c63c2a7a2f43f7f479ae06,[func_8014A9D8;func_80188F90;func_80188FB4;func_801A6820;func_8014ABEC;func_8015C758;func_801A8E30;func_801B4010;func_8018A9D0;func_80179EAC;func_801B9140;func_80179EAC;func_8018E6F8;func_8018E5F0;func_8018B3D8;func_8012ACC0;func_8018B3B8;func_801BAF6C;func_801B87C4;func_801B7B40;func_801779F0;func_8014A9FC;func_8011D88C;func_80177A14;func_801490AC],[],[]
0x025794,0x80125794,func_80125794,,0xCA8,ac8a4bcf2873e9965bdc5bd10ab78f5d,[func_80148D80;func_801BB5C4;func_801492FC;func_80148D80;func_801BB5C4;func_8015C4C8;func_80148E48;func_801B66D4;func_801B7764;func_80148E48;func_80128DF8;func_80147000;func_80177A14;func_80148E48;func_80147000;func_80178134;func_8018D39C;func_80173CE8;func_80167604;func_801496C8;func_8015C4C8;func_8015C4C8;func_8015C4C8;func_80173CE8;func_80147000;func_80178134;func_80178134;func_80167604;func_801C6000;func_801C6000;func_801490AC;func_801C6000;func_80162EAC;func_801C6000;func_801490AC;func_801490AC;func_80162EAC;func_80147000;func_801AA5BC;func_801A8E54;func_80147000;func_80147000;func_80147000;func_8010F94C;func_8012AD30],[],[]
0x02643C,0x8012643C,func_8012643C,,0x1BE0,958350259e8ac443669005f6d20e93f7,[func_80177A14;func_80145680;func_801469E4;func_801469E4;func_8012A77C;func_8014D5E0;func_801C0A2C;func_801C0B00;func_8011CD50;func_8011CAF8;func_8014D4D0;func_801B392C;func_801B39DC;func_80178704;func_80173CE8;func_8017DBA0;func_80149318;func_8017DBA0;func_801570AC;func_80147000;func_80178134;func_80133998;func_801496C8;func_80173CE8;func_80178134;func_8018C700;func_8014D61C;func_801C4030;func_80178704;func_80147000;func_8017DBA0;func_801490AC;func_80147000;func_80147000;func_80147000;func_8017DBA0;func_8017DBA0;func_8017DBA0;T_80189E78;func_80147000;func_80147000;func_80147000;func_8017DBA0;func_8017DBA0;func_8017DBA0;T_80189E78;func_801785E0;func_80167604;func_8017DBA0;func_80149724;func_80178760;func_80173CE8;func_8017DBA0;func_8015C350;func_801570AC;func_80149568;func_80148D0C;func_80128DF8;func_8012AD30;func_80160228;func_8015C350;T_801C066C;func_8012A850;T_801C066C;T_801C066C;func_80145680;func_80145680;func_801469E4;func_80145680;func_801793DC;func_801793DC;func_80128F0C;func_801BB710;func_8012C2B0;func_8014AB20;func_8014ED9C;func_8014ED9C],[],[]
0x02801C,0x8012801C,func_8012801C,,0x5F0,6f5b5c0b5af14288f274ff2c3f050929,[func_801469E4;func_801469E4;func_801469E4;func_801D2150;func_801469E4;func_801D2150],[],[]
